subject_id,str_SMI_w_ts_LAF,end_SMI_w_ts_LAF,str_SMI_w_ts_Fix,str_SMI_w_ts_Touch,laf_target_label,current_task_label
2,00:02:33:16,00:02:34:23,00:03:01:29,00:03:04:27,6,12
2,00:02:49:16,00:02:50:13,00:03:01:29,00:03:04:27,6,12
2,00:03:16:12,00:03:17:08,00:03:37:11,00:03:38:23,8,2
2,00:09:55:19,00:09:56:10,00:10:09:26,00:10:10:19,12,7
2,00:08:30:25,00:08:32:04,00:08:56:00,00:08:58:00,10,7
2,00:08:32:15,00:08:33:01,00:08:33:13,00:08:33:25,1,11
2,00:08:33:03,00:08:33:12,00:08:36:23,00:08:37:08,1,11
2,00:08:33:26,00:08:34:29,00:08:36:23,00:08:37:08,1,11
2,00:10:12:13,00:10:12:22,00:10:22:23,00:10:23:06,11,10
2,00:10:15:14,00:10:15:29,00:10:22:23,00:10:23:06,11,10
2,00:10:17:05,00:10:17:11,00:10:22:23,00:10:23:06,11,10
2,00:10:18:08,00:10:19:00,00:10:22:23,00:10:23:06,11,10
2,00:10:14:14,00:10:14:18,00:10:53:08,00:10:53:29,8,10
2,00:10:16:01,00:10:16:05,00:10:53:08,00:10:53:29,8,10
2,00:10:20:21,00:10:20:25,00:10:53:08,00:10:53:29,8,10
2,00:10:37:11,00:10:37:25,00:10:53:08,00:10:53:29,8,10
2,00:10:38:07,00:10:38:14,00:10:53:08,00:10:53:29,8,10
2,00:10:14:21,00:10:14:28,00:10:41:06,00:10:42:00,8,10
2,00:10:20:09,00:10:20:19,00:10:41:06,00:10:42:00,8,10
2,00:10:37:27,00:10:38:05,00:10:41:06,00:10:42:00,8,10
2,00:10:40:19,00:10:40:27,00:10:41:06,00:10:42:00,8,10
2,00:10:15:00,00:10:15:06,00:10:45:10,00:10:46:01,8,10
2,00:10:21:22,00:10:21:27,00:10:45:10,00:10:46:01,8,10
2,00:10:16:18,00:10:16:28,00:10:55:03,00:10:56:16,8,10
2,00:10:21:08,00:10:21:17,00:10:55:03,00:10:56:16,8,10
4,00:02:15:21,00:02:17:05,00:02:18:14,00:02:19:03,8,8
4,00:02:17:10,00:02:18:08,00:02:26:05,00:02:27:11,2,8
4,00:02:22:21,00:02:23:11,00:02:26:05,00:02:27:11,2,8
4,00:02:21:18,00:02:22:13,00:06:40:29,00:06:43:11,4,8
4,00:06:54:03,00:06:55:00,00:09:24:26,00:09:25:17,1,7
4,00:07:35:27,00:07:36:18,00:09:24:26,00:09:25:17,1,11
4,00:08:43:04,00:08:44:04,00:09:24:26,00:09:25:17,1,3
4,00:08:15:08,00:08:15:19,00:12:39:14,00:12:41:25,1,3
4,00:08:18:17,00:08:21:19,00:12:39:14,00:12:41:25,1,3
4,00:12:11:14,00:12:12:14,00:12:39:14,00:12:41:25,1,11
4,00:05:44:21,00:05:45:10,00:06:01:08,00:06:02:17,10,4
4,00:05:46:16,00:05:46:28,00:06:01:08,00:06:02:17,10,4
4,00:07:34:29,00:07:35:20,00:12:09:29,00:12:11:17,1,11
4,00:08:46:04,00:08:46:19,00:10:19:00,00:10:20:07,1,3
5,00:01:33:23,00:01:34:24,00:01:35:17,00:01:37:08,2,1
5,00:02:22:23,00:02:23:26,00:02:26:08,00:02:27:18,2,2
5,00:05:24:10,00:05:24:22,00:09:50:18,00:09:54:09,1,4
