subject_id,str_GoPro_ts,end_GoPro_ts,str_GoPro_frame,end_GoPro_frame,str_SMI_w_ts,end_SMI_w_ts,str_SMI_w_frame,end_SMI_w_frame,str_SMI_wo_ts,end_SMI_wo_ts,str_SMI_wo_frame,end_SMI_wo_frame,action_label
1,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,00:03:29:09,00:03:48:15,6279,6855,00:03:27:21,00:03:47:01,4989,5449,4
1,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,00:03:50:21,00:04:04:03,6921,7323,00:03:49:06,00:04:02:16,5502,5824,7
1,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,00:04:04:24,00:04:06:25,7344,7405,00:04:03:09,00:04:05:09,5841,5889,10
1,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,00:04:06:07,00:04:20:15,7387,7815,00:04:04:19,00:04:19:01,5875,6217,6
1,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,00:04:21:08,00:04:25:23,7838,7973,00:04:19:20,00:04:24:08,6236,6344,10
1,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,00:04:27:16,00:04:53:21,8026,8811,00:04:26:02,00:04:52:06,6386,7014,4
1,00:00:04:29,00:00:05:17,269,317,00:05:40:14,00:05:41:09,10214,10239,00:05:39:00,00:05:39:19,8136,8155,4
1,00:00:06:07,00:00:28:47,367,1726,00:05:42:04,00:06:04:24,10264,10944,00:05:40:15,00:06:03:07,8175,8719,10
1,00:00:32:47,00:02:38:27,1966,9498,00:06:08:24,00:08:14:14,11064,14834,00:06:07:07,00:08:12:22,8815,11830,0
1,00:00:43:15,00:00:56:33,2593,3390,00:06:19:08,00:06:32:17,11378,11777,00:06:17:18,00:06:31:01,9066,9385,4
1,00:01:06:19,00:02:20:12,3976,8404,00:06:42:10,00:07:56:06,12070,14286,00:06:40:19,00:07:54:16,9619,11392,2
1,00:02:20:28,00:02:24:05,8420,8637,00:07:56:14,00:08:00:03,14294,14403,00:07:54:22,00:07:58:13,11398,11485,3
1,00:02:28:37,00:02:44:59,8909,9890,00:08:04:19,00:08:21:00,14539,15030,00:08:03:02,00:08:19:11,11594,11987,3
1,00:02:49:56,00:03:06:32,10186,11181,00:08:25:28,00:08:42:16,15178,15676,00:08:24:09,00:08:40:23,12105,12503,0
1,00:03:06:34,00:04:53:38,11183,17601,00:08:42:17,00:10:29:19,15677,18889,00:08:41:00,00:10:28:01,12504,15073,2
1,00:04:53:40,00:05:01:34,17603,18076,00:10:29:20,00:10:37:17,18890,19127,00:10:28:02,00:10:35:23,15074,15263,3
1,00:05:06:20,00:05:22:48,18362,19349,00:10:42:10,00:10:58:24,19270,19764,00:10:40:18,00:10:57:05,15378,15773,3
1,00:05:27:08,00:05:52:30,19609,21129,00:11:03:04,00:11:28:15,19894,20655,00:11:01:13,00:11:26:21,15877,16485,3
1,00:05:55:12,00:06:13:14,21291,22372,00:11:31:06,00:11:49:07,20736,21277,00:11:29:14,00:11:47:15,16550,16983,3
1,00:06:17:18,00:06:34:48,22616,23665,00:11:53:09,00:12:10:24,21399,21924,00:11:51:17,00:12:09:04,17081,17500,3
1,00:06:39:17,00:06:40:07,23934,23984,00:12:15:09,00:12:16:04,22059,22084,00:12:13:16,00:12:14:12,17608,17628,9
1,00:06:41:14,00:07:02:18,24050,25313,00:12:17:07,00:12:38:09,22117,22749,00:12:15:15,00:12:36:16,17655,18160,11
1,00:07:06:42,00:07:11:47,25577,25882,00:12:42:21,00:12:47:24,22881,23034,00:12:41:02,00:12:46:04,18266,18388,9
1,00:07:14:44,00:07:19:24,26058,26338,00:12:50:22,00:12:55:12,23122,23262,00:12:49:03,00:12:53:19,18459,18571,9
1,00:07:21:04,00:07:22:04,26438,26498,00:12:57:02,00:12:58:02,23312,23342,00:12:55:11,00:12:56:11,18611,18635,9
1,00:07:28:11,00:07:42:56,26865,27749,00:13:04:06,00:13:18:28,23526,23968,00:13:02:14,00:13:17:07,18782,19135,5
1,00:07:48:20,00:07:55:38,28072,28510,00:13:24:10,00:13:31:19,24130,24349,00:13:22:17,00:13:30:00,19265,19440,1
1,00:07:58:00,00:08:23:32,28652,30182,00:13:34:00,00:13:59:16,24420,25186,00:13:32:09,00:13:57:21,19497,20109,1
1,00:08:27:38,00:08:36:35,30428,30965,00:14:03:19,00:14:12:18,25309,25578,00:14:02:00,00:14:10:23,20208,20423,1
1,00:08:40:30,00:08:48:12,31199,31661,00:14:16:15,00:14:24:06,25695,25926,00:14:14:20,00:14:22:13,20516,20701,1
1,00:08:54:18,00:09:10:29,32026,32997,00:14:30:09,00:14:46:15,26109,26595,00:14:28:16,00:14:44:20,20848,21236,9
1,00:09:13:50,00:09:24:40,33197,33847,00:14:49:25,00:15:00:20,26695,27020,00:14:48:04,00:14:59:00,21316,21576,9
1,00:09:28:00,00:09:40:22,34046,34788,00:15:04:00,00:15:16:11,27120,27491,00:15:02:08,00:15:14:17,21656,21953,9
1,00:09:43:57,00:09:55:30,35003,35695,00:15:19:29,00:15:31:15,27599,27945,00:15:18:07,00:15:29:20,22039,22316,9
1,00:10:02:00,00:10:35:12,36084,38074,00:15:38:00,00:16:11:07,28140,29137,00:15:36:08,00:16:09:12,22472,23268,8
2,00:00:17:21,00:00:41:48,1040,2506,00:01:49:07,00:02:13:20,3277,4010,00:01:48:08,00:02:12:18,2600,3186,4
2,00:00:46:40,00:00:58:16,2798,3493,00:02:18:16,00:02:30:04,4156,4504,00:02:17:15,00:02:29:05,3303,3581,7
2,00:00:59:12,00:01:02:16,3549,3733,00:02:31:02,00:02:34:04,4532,4624,00:02:30:04,00:02:33:05,3604,3677,10
2,00:01:02:46,00:01:03:10,3763,3787,00:02:34:19,00:02:35:01,4639,4651,00:02:33:17,00:02:34:03,3689,3699,6
2,00:01:06:36,00:01:28:46,3993,5321,00:02:38:14,00:03:00:19,4754,5419,00:02:37:13,00:02:59:16,3781,4312,10
