subject_id,str_GoPro_ts,end_GoPro_ts,str_GoPro_frame,end_GoPro_frame,str_SMI_w_ts,end_SMI_w_ts,str_SMI_w_frame,end_SMI_w_frame,str_SMI_wo_ts,end_SMI_wo_ts,str_SMI_wo_frame,end_SMI_wo_frame,error_label_main,error_label_sub,action_label
1,00:01:06:41,00:01:34:45,3998,5680,00:06:42:21,00:07:10:23,12081,12923,00:06:41:04,00:07:09:06,9628,10302,1,-1,2
1,00:01:14:03,00:01:17:27,4439,4643,00:06:50:02,00:06:53:14,12302,12404,00:06:48:13,00:06:51:22,9805,9886,0,-1,2
1,00:01:56:53,00:02:01:10,7007,7263,00:07:32:27,00:07:37:05,13587,13715,00:07:31:09,00:07:35:15,10833,10935,1,-1,2
1,00:02:57:19,00:03:06:58,10629,11207,00:08:33:10,00:08:42:29,15400,15689,00:08:31:19,00:08:41:10,12283,12514,0,-1,0
1,00:03:13:31,00:03:15:29,11600,11718,00:08:49:16,00:08:51:15,15886,15945,00:08:47:23,00:08:49:22,12671,12718,0,-1,2
1,00:03:26:40,00:03:33:27,12388,12795,00:09:02:20,00:09:09:14,16280,16484,00:09:01:02,00:09:07:22,12986,13150,1,-1,2
1,00:04:21:25,00:04:33:44,15670,16408,00:09:57:13,00:10:09:22,17923,18292,00:09:55:20,00:10:08:04,14300,14596,0,-1,2
1,00:04:56:39,00:05:11:49,17782,18691,00:10:32:20,00:10:47:25,18980,19435,00:10:31:02,00:10:46:06,15146,15510,0,-1,3
1,00:05:27:38,00:05:52:42,19639,21141,00:11:03:19,00:11:28:21,19909,20661,00:11:02:01,00:11:27:02,15889,16490,0,-1,3
1,00:05:58:04,00:06:12:06,21463,22304,00:11:34:02,00:11:48:03,20822,21243,00:11:32:11,00:11:46:12,16619,16956,0,-1,3
1,00:06:42:12,00:06:57:35,24108,25031,00:12:18:06,00:12:33:18,22146,22608,00:12:16:14,00:12:31:23,17678,18047,2,-1,11
1,00:08:05:26,00:08:23:12,29097,30162,00:13:41:13,00:13:59:06,24643,25176,00:13:39:19,00:13:57:13,19675,20101,0,-1,1
1,00:09:02:16,00:09:10:37,32504,33005,00:14:38:08,00:14:46:19,26348,26599,00:14:36:15,00:14:44:23,21039,21239,1,-1,9
1,00:09:19:14,00:09:24:48,33521,33855,00:14:55:07,00:15:00:24,26857,27024,00:14:53:14,00:14:59:03,21446,21579,1,-1,9
1,00:09:31:30,00:09:40:24,34256,34790,00:15:07:15,00:15:16:12,27225,27492,00:15:05:20,00:15:14:18,21740,21954,1,-1,9
1,00:09:47:28,00:09:55:32,35213,35697,00:15:23:14,00:15:31:16,27704,27946,00:15:21:19,00:15:29:21,22123,22317,1,-1,9
1,00:09:56:56,00:10:02:08,35781,36092,00:15:32:28,00:15:38:04,27988,28144,00:15:31:06,00:15:36:11,22350,22475,5,-1,8
1,00:10:24:54,00:10:28:48,37457,37691,00:16:00:27,00:16:04:24,28827,28944,00:15:59:05,00:16:03:03,23021,23115,0,-1,8
1,00:02:29:57,00:02:47:02,8989,10012,00:08:05:29,00:08:23:01,14579,15091,00:08:04:10,00:08:21:11,11626,12035,2,-1,2
2,00:04:14:29,00:04:16:49,15254,15394,00:05:46:11,00:05:48:21,10391,10461,00:05:45:06,00:05:47:14,8286,8342,0,-1,3
2,00:06:34:45,00:06:43:54,23662,24210,00:08:06:19,00:08:15:23,14599,14873,00:08:05:10,00:08:14:13,11650,11869,5,-1,5
2,00:07:53:02,00:07:56:46,28354,28578,00:09:24:27,00:09:28:19,16947,17059,00:09:23:15,00:09:27:09,13527,13617,0,-1,9
2,00:03:56:59,00:04:01:30,14205,14476,00:05:28:25,00:05:33:11,9865,10001,00:05:27:18,00:05:32:07,7866,7975,2,-1,3
2,00:04:43:01,00:06:12:13,16965,22311,00:06:14:27,00:07:44:03,11247,13923,00:06:13:19,00:07:42:21,8971,11109,2,-1,2
2,00:04:06:34,00:04:18:53,14780,15518,00:05:38:13,00:05:50:23,10153,10523,00:05:37:09,00:05:49:16,8097,8392,0,-1,3
2,00:07:02:11,00:07:21:51,25306,26485,00:08:34:02,00:08:53:22,15422,16012,00:08:32:19,00:08:52:11,12307,12779,1,-1,9
2,00:07:45:01,00:08:06:57,27874,29188,00:09:16:27,00:09:38:25,16707,17365,00:09:15:15,00:09:37:12,13335,13860,1,-1,9
2,00:08:39:02,00:09:29:46,31111,34152,00:10:10:27,00:11:01:19,18327,19849,00:10:09:14,00:11:00:06,14630,15846,1,-1,8
3,00:03:24:27,00:05:56:40,12255,21379,00:04:42:01,00:07:14:13,8461,13033,00:04:41:10,00:07:13:16,6754,10408,7,-1,2
3,00:05:31:11,00:05:39:50,19851,20370,00:06:48:27,00:06:57:18,12267,12528,00:06:48:04,00:06:56:20,9796,10004,0,-1,2
3,00:10:40:37,00:11:09:14,38399,40114,00:11:58:20,00:12:27:10,21560,22420,00:11:57:15,00:12:26:06,17223,17910,0,-1,3
3,00:11:25:42,00:11:28:03,41101,41242,00:12:43:24,00:12:46:05,22914,22985,00:12:42:17,00:12:45:02,18305,18362,0,-1,3
3,00:11:35:22,00:11:48:16,41680,42453,00:12:53:14,00:13:06:11,23204,23591,00:12:52:09,00:13:05:06,18537,18846,0,1,3
3,00:13:30:30,00:13:38:19,48581,49050,00:14:48:22,00:14:56:17,26662,26897,00:14:47:13,00:14:55:08,21301,21488,5,-1,8
3,00:13:53:13,00:13:54:39,49943,50029,00:15:11:14,00:15:12:27,27344,27387,00:15:10:06,00:15:11:16,21846,21880,0,-1,3
3,00:14:02:43,00:14:06:15,50512,50724,00:15:21:00,00:15:24:16,27630,27736,00:15:19:18,00:15:23:07,22074,22159,0,-1,3
3,00:14:28:54,00:14:37:56,52082,52623,00:15:47:06,00:15:56:07,28416,28687,00:15:45:22,00:15:54:23,22702,22919,0,-1,1
3,00:15:17:26,00:15:22:33,54991,55297,00:16:35:24,00:16:40:27,29874,30027,00:16:34:11,00:16:39:14,23867,23990,0,-1,3
3,00:15:42:54,00:15:59:55,56517,57537,00:17:01:08,00:17:18:09,30638,31149,00:16:59:22,00:17:16:23,24478,24887,5,-1,4
3,00:16:27:24,00:16:32:56,59185,59516,00:17:45:25,00:17:51:11,31975,32141,00:17:44:11,00:17:49:23,25547,25679,0,-1,3
3,00:05:10:15,00:05:20:51,18597,19232,00:06:27:29,00:06:38:17,11639,11957,00:06:27:06,00:06:37:20,9294,9548,0,-1,2
3,00:08:32:40,00:08:37:01,30729,30990,00:09:50:17,00:09:54:28,17717,17848,00:09:49:16,00:09:54:00,14152,14256,0,-1,3
3,00:09:18:57,00:09:30:01,33504,34167,00:10:36:28,00:10:48:00,19108,19440,00:10:35:23,00:10:47:01,15263,15529,0,-1,3
3,00:10:28:32,00:10:35:23,37674,38085,00:11:46:17,00:11:53:13,21197,21403,00:11:45:13,00:11:52:10,16933,17098,0,-1,0
3,00:10:51:21,00:11:09:06,39042,40106,00:12:09:13,00:12:27:06,21883,22416,00:12:08:09,00:12:26:03,17481,17907,0,-1,3
